Area Name,Time,Rate
San Mateo County,Dec-99,0.014735265
San Mateo County,Jan-00,0.030883104
San Mateo County,Feb-00,0.029828109
San Mateo County,Mar-00,0.03014318
San Mateo County,Apr-00,0.027047523
San Mateo County,May-00,0.027679025
San Mateo County,Jun-00,0.031682172
San Mateo County,Jul-00,0.032733633
San Mateo County,Aug-00,0.03117207
San Mateo County,Sep-00,0.028091297
San Mateo County,Oct-00,0.026919242
San Mateo County,Nov-00,0.02580005
San Mateo County,Dec-00,0.022968634
San Mateo County,Jan-01,0.029367845
San Mateo County,Feb-01,0.028351156
San Mateo County,Mar-01,0.030543829
San Mateo County,Apr-01,0.031360647
San Mateo County,May-01,0.031329598
San Mateo County,Jun-01,0.038667006
San Mateo County,Jul-01,0.041305456
San Mateo County,Aug-01,0.043052333
San Mateo County,Sep-01,0.042184265
San Mateo County,Oct-01,0.047101449
San Mateo County,Nov-01,0.048843856
San Mateo County,Dec-01,0.046566077
San Mateo County,Jan-02,0.055570118
San Mateo County,Feb-02,0.054089365
San Mateo County,Mar-02,0.056559309
San Mateo County,Apr-02,0.054482941
San Mateo County,May-02,0.051792829
San Mateo County,Jun-02,0.058151885
San Mateo County,Jul-02,0.058589608
San Mateo County,Aug-02,0.05883912
San Mateo County,Sep-02,0.056548413
San Mateo County,Oct-02,0.056930035
San Mateo County,Nov-02,0.057538625
San Mateo County,Dec-02,0.055703625
San Mateo County,Jan-03,0.059625668
San Mateo County,Feb-03,0.058571811
San Mateo County,Mar-03,0.060279871
San Mateo County,Apr-03,0.05807327
San Mateo County,May-03,0.056438356
San Mateo County,Jun-03,0.063812381
San Mateo County,Jul-03,0.061576355
San Mateo County,Aug-03,0.059452055
San Mateo County,Sep-03,0.056811914
San Mateo County,Oct-03,0.055632057
San Mateo County,Nov-03,0.055265329
San Mateo County,Dec-03,0.049284141
San Mateo County,Jan-04,0.055038335
San Mateo County,Feb-04,0.052617155
San Mateo County,Mar-04,0.055418381
San Mateo County,Apr-04,0.049568365
San Mateo County,May-04,0.046700224
San Mateo County,Jun-04,0.05059772
San Mateo County,Jul-04,0.049751244
San Mateo County,Aug-04,0.046563193
San Mateo County,Sep-04,0.043769166
San Mateo County,Oct-04,0.044561306
San Mateo County,Nov-04,0.04445058
San Mateo County,Dec-04,0.041137493
San Mateo County,Jan-05,0.044672586
San Mateo County,Feb-05,0.045957918
San Mateo County,Mar-05,0.044987503
San Mateo County,Apr-05,0.041271612
San Mateo County,May-05,0.039686976
San Mateo County,Jun-05,0.043925493
San Mateo County,Jul-05,0.044751381
San Mateo County,Aug-05,0.042358804
San Mateo County,Sep-05,0.041874653
San Mateo County,Oct-05,0.040974529
San Mateo County,Nov-05,0.041828255
San Mateo County,Dec-05,0.036676855
San Mateo County,Jan-06,0.039210234
San Mateo County,Feb-06,0.039911308
San Mateo County,Mar-06,0.039291644
San Mateo County,Apr-06,0.036051026
San Mateo County,May-06,0.03417616
San Mateo County,Jun-06,0.037876693
San Mateo County,Jul-06,0.04005487
San Mateo County,Aug-06,0.037797864
San Mateo County,Sep-06,0.035078104
San Mateo County,Oct-06,0.033668205
San Mateo County,Nov-06,0.035376722
San Mateo County,Dec-06,0.032623349
San Mateo County,Jan-07,0.038808418
San Mateo County,Feb-07,0.037792278
San Mateo County,Mar-07,0.037540805
San Mateo County,Apr-07,0.035410376
San Mateo County,May-07,0.034492198
San Mateo County,Jun-07,0.039412884
San Mateo County,Jul-07,0.04109589
San Mateo County,Aug-07,0.039654707
San Mateo County,Sep-07,0.038513332
San Mateo County,Oct-07,0.038120805
San Mateo County,Nov-07,0.0386873
San Mateo County,Dec-07,0.0377308
San Mateo County,Jan-08,0.041462084
San Mateo County,Feb-08,0.040065413
San Mateo County,Mar-08,0.042605156
San Mateo County,Apr-08,0.03959859
San Mateo County,May-08,0.043360434
San Mateo County,Jun-08,0.048951049
San Mateo County,Jul-08,0.052519894
San Mateo County,Aug-08,0.053500133
San Mateo County,Sep-08,0.051774753
San Mateo County,Oct-08,0.05440552
San Mateo County,Nov-08,0.057150452
San Mateo County,Dec-08,0.060058464
San Mateo County,Jan-09,0.070264494
San Mateo County,Feb-09,0.074221868
San Mateo County,Mar-09,0.079318605
San Mateo County,Apr-09,0.076984763
San Mateo County,May-09,0.079612695
San Mateo County,Jun-09,0.086350228
San Mateo County,Jul-09,0.087394068
San Mateo County,Aug-09,0.087280468
San Mateo County,Sep-09,0.087108014
San Mateo County,Oct-09,0.087212413
San Mateo County,Nov-09,0.084827402
San Mateo County,Dec-09,0.084454008
San Mateo County,Jan-10,0.088039014
San Mateo County,Feb-10,0.085999488
San Mateo County,Mar-10,0.088152866
San Mateo County,Apr-10,0.083080041
San Mateo County,May-10,0.080550599
San Mateo County,Jun-10,0.084503447
San Mateo County,Jul-10,0.085663895
San Mateo County,Aug-10,0.084133401
San Mateo County,Sep-10,0.081834305
San Mateo County,Oct-10,0.080702648
San Mateo County,Nov-10,0.082695253
San Mateo County,Dec-10,0.077197452
San Mateo County,Jan-11,0.080579563
San Mateo County,Feb-11,0.077859498
San Mateo County,Mar-11,0.077721519
San Mateo County,Apr-11,0.073952549
San Mateo County,May-11,0.07286939
San Mateo County,Jun-11,0.078688525
San Mateo County,Jul-11,0.078226208
San Mateo County,Aug-11,0.076464747
San Mateo County,Sep-11,0.074147306
San Mateo County,Oct-11,0.072978304
San Mateo County,Nov-11,0.070759369
San Mateo County,Dec-11,0.067650677
San Mateo County,Jan-12,0.069905801
San Mateo County,Feb-12,0.069744597
San Mateo County,Mar-12,0.068821945
San Mateo County,Apr-12,0.063418217
San Mateo County,May-12,0.063492063
San Mateo County,Jun-12,0.067689311
San Mateo County,Jul-12,0.067870036
San Mateo County,Aug-12,0.064897467
San Mateo County,Sep-12,0.059120404
San Mateo County,Oct-12,0.059443912
San Mateo County,Nov-12,0.057890944
San Mateo County,Dec-12,0.056287425
San Mateo County,Jan-13,0.060014461
San Mateo County,Feb-13,0.056409025
San Mateo County,Mar-13,0.054313867
San Mateo County,Apr-13,0.050325066
San Mateo County,May-13,0.050192123
San Mateo County,Jun-13,0.056061332
San Mateo County,Jul-13,0.056003797
San Mateo County,Aug-13,0.053082599
San Mateo County,Sep-13,0.05064194
San Mateo County,Oct-13,0.051269765
San Mateo County,Nov-13,0.048298834
San Mateo County,Dec-13,0.04470868
San Mateo County,Jan-14,0.04678921
San Mateo County,Feb-14,0.047540208
San Mateo County,Mar-14,0.046676096
San Mateo County,Apr-14,0.039667458
San Mateo County,May-14,0.040435091
San Mateo County,Jun-14,0.042688679
San Mateo County,Jul-14,0.045750116
San Mateo County,Aug-14,0.043751455
San Mateo County,Sep-14,0.040139211
San Mateo County,Oct-14,0.039251905
San Mateo County,Nov-14,0.038843931
San Mateo County,Dec-14,0.034714187
San Mateo County,Jan-15,0.038846243
San Mateo County,Feb-15,0.036641929
San Mateo County,Mar-15,0.035648148
San Mateo County,Apr-15,0.033217189
San Mateo County,May-15,0.033487298
San Mateo County,Jun-15,0.035351201
San Mateo County,Jul-15,0.036757991
San Mateo County,Aug-15,0.034033805
San Mateo County,Sep-15,0.031815061
San Mateo County,Oct-15,0.032442312
San Mateo County,Nov-15,0.031749657
San Mateo County,Dec-15,0.030123231
San Mateo County,Jan-16,0.031350114
San Mateo County,Feb-16,0.031093963
San Mateo County,Mar-16,0.031426634
San Mateo County,Apr-16,0.029425182
San Mateo County,May-16,0.027162748
San Mateo County,Jun-16,0.032001816
San Mateo County,Jul-16,0.033176418
San Mateo County,Aug-16,0.032098765
San Mateo County,Sep-16,0.03073127
San Mateo County,Oct-16,0.03102518
San Mateo County,Nov-16,0.028603604
San Mateo County,Dec-16,0.027570621
San Mateo County,Jan-17,0.03113016
San Mateo County,Feb-17,0.029141448
San Mateo County,Mar-17,0.027553763
San Mateo County,Apr-17,0.025710419
San Mateo County,May-17,0.025107442
San Mateo County,Jun-17,0.029054054
San Mateo County,Jul-17,0.030457981
San Mateo County,Aug-17,0.029917392
San Mateo County,Sep-17,0.025783507
San Mateo County,Oct-17,0.025061535
San Mateo County,Nov-17,0.023921306
San Mateo County,Dec-17,0.022446689
San Mateo County,Jan-18,0.024719101
San Mateo County,Feb-18,0.024
San Mateo County,Mar-18,0.022833075
San Mateo County,Apr-18,0.020717309
San Mateo County,May-18,0.01890149
San Mateo County,Jun-18,0.024077756
San Mateo County,Jul-18,0.023757629
San Mateo County,Aug-18,0.023209985
San Mateo County,Sep-18,0.020701678
San Mateo County,Oct-18,0.021059488
San Mateo County,Nov-18,0.020116807
San Mateo County,Dec-18,0.020051746
San Mateo County,Jan-19,0.024584861
San Mateo County,Feb-19,0.022126745
San Mateo County,Mar-19,0.023526872
San Mateo County,Apr-19,0.018838992
San Mateo County,May-19,0.017463436
San Mateo County,Jun-19,0.021653543
San Mateo County,Jul-19,0.023045445
San Mateo County,Aug-19,0.021565667
Santa Clara County,Jan-90,0.035158093
Santa Clara County,Feb-90,0.034813084
Santa Clara County,Mar-90,0.034684106
Santa Clara County,Apr-90,0.037354634
Santa Clara County,May-90,0.037336142
Santa Clara County,Jun-90,0.039453718
Santa Clara County,Jul-90,0.041709994
