web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572907248-1171","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/14939-Skaggs-Springs-Rd-Healdsburg-CA-95448/2092993757_zpid/","Healdsburg, CA 95448","Lot/land","14939 Skaggs Springs Rd,","2","https://www.zillow.com/healdsburg-ca/2_p/","","","","","null","539.9 acres","null","null","$895,000","null","null","null","null","null","null","$2,100/mo","3","4","7","null","Hills, Panoramic, Forest/Woods, Mountain, Vineyard, Canyon","Recreation","null","null"
"1572908377-1475","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/824-Johnson-St-Healdsburg-CA-95448/15743953_zpid/","Healdsburg, CA 95448","For sale","824 Johnson St,","","","","","","","2,120","4","3","$1,804,580","$1,875,000","Single Family","1915","None","No Data","No Data","0.27 acres","$6,167/mo","3","4","7","null","Composition","null","null","$10,599"
"1572908652-1569","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/248-Albert-Ct-Healdsburg-CA-95448/15746032_zpid/","Healdsburg, CA 95448","For sale","248 Albert Ct,","","","","","","","1,468","3","2","$512,729","$525,000","Single Family","1979","Forced air","None","2 spaces","6,534 sqft","$2,700/mo","3","4","7","null","Composition","null","null","$4,281"
"1572907496-1225","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/2156-Buena-Vista-Ave-Healdsburg-CA-95448/2085223935_zpid/","Healdsburg, CA 95448","For sale","2156 Buena Vista Ave,","2","https://www.zillow.com/healdsburg-ca/2_p/","","","","","2,397","3","3","$728,730","$750,000","Single Family","1922","No Data","No Data","No Data","6,534 sqft","$3,300/mo","3","4","7","null","No","null","null","null"
"1572904290-848","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/6355-Mountain-View-Ranch-Rd-Healdsburg-CA-95448/2084563932_zpid/","Healdsburg, CA 95448","For sale","6355 Mountain View Ranch Rd,","","","3","https://www.zillow.com/healdsburg-ca/3_p/","","","3,678","3","4","$3,388,433","$3,595,000","Single Family","1954","No Data","No Data","15 spaces","40.93 acres","$11,593/mo","3","4","7","null","No","null","null","null"
"1572908503-1519","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/114-Parkwoods-Ct-Healdsburg-CA-95448/61196969_zpid/","Healdsburg, CA 95448","For sale","114 Parkwoods Ct,","","","","","","","1,820","3","2","$908,020","$939,000","Single Family","1998","Other","No Data","2 spaces","0.25 acres","$3,043/mo","3","4","7","null","Composition","null","null","$5,696"
"1572904034-752","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/7462-W-Dry-Creek-Rd-Healdsburg-CA-95448/2084696156_zpid/","Healdsburg, CA 95448","For sale","7462 W Dry Creek Rd,","","","3","https://www.zillow.com/healdsburg-ca/3_p/","","","3,104","2","3","None","$6,500,000","Single Family","1989","No Data","No Data","No Data","22.01 acres","$4,132/mo","6","5","null","null","No","null","null","null"
"1572907582-1250","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/1412-Highland-Cir-Healdsburg-CA-95448/15746199_zpid/","Healdsburg, CA 95448","For sale","1412 Highland Cir,","2","https://www.zillow.com/healdsburg-ca/2_p/","","","","","4,247","4","5","null","$1,699,000","Single Family","2002","Forced air","Central","2 spaces","0.43 acres","$6,414/mo","3","4","7","Central","Composition","null","null","$4,209"
"1572908389-1480","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/216-Foss-Creek-Cir-APT-C-Healdsburg-CA-95448/15818960_zpid/","Healdsburg, CA 95448","For sale","216 Foss Creek Cir APT C,","","","","","","","960","2","2","$524,775","$529,000","Condo","1988","None","No Data","1 space","$395/month","$2,350/mo","3","4","7","null","No","null","null","$4,630"
"1572908023-1395","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/2094-Redwood-Dr-Healdsburg-CA-95448/15817849_zpid/","Healdsburg, CA 95448","For sale","2094 Redwood Dr,","","","","","","","1,510","3","1","$661,008","$675,000","Single Family","1932","Forced air","Central","Carport, Off street","3,484 sqft","$2,600/mo","3","4","7","Central","Composition","null","null","$7,682"
"1572905110-1125","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/(undisclosed-Address)-Healdsburg-CA-95448/2083096051_zpid/","Healdsburg, CA 95448","For sale","(undisclosed Address),","2","https://www.zillow.com/healdsburg-ca/2_p/","","","","","4,000","4","4","$1,656,598","$1,695,000","Single Family","No Data","No Data","No Data","No Data","27.78 acres","null","6","null","null","null","No","null","null","null"
"1572903978-739","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/1580-Clear-Ridge-Dr-Healdsburg-CA-95448/2094473735_zpid/","Healdsburg, CA 95448","Lot/land","1580 Clear Ridge Dr,","","","3","https://www.zillow.com/healdsburg-ca/3_p/","","","null","0.29 acres","null","None","$320,000","null","null","null","null","null","null","$2,500/mo","3","4","7","null","Residential, Single-Family","null","City, Elec @ Street, Gas in Street","null"
"1572905124-1130","https://www.zillow.com/homes/healdsburg-CA_rb/","","https://www.zillow.com/homedetails/513-Greens-Dr-Healdsburg-CA-95448/15818632_zpid/","Healdsburg, CA 95448","For sale","513 Greens Dr,","2","https://www.zillow.com/healdsburg-ca/2_p/","","","","","2,230","4","3","$1,133,935","$1,175,000","Single Family","1989","None","No Data","1 space","0.31 acres","$3,867/mo","3","4","7","null","No","null","null","$4,869"
